cluster_name	z_score	gene
12	CTNNBL1	16.455183029174805
12	PTH2R	16.29277801513672
12	CNRIP1	16.26711654663086
12	TOX	16.17759132385254
12	KIT	16.110902786254883
12	LRMDA	15.956510543823242
12	TFRC	15.552647590637207
12	CHPT1	15.519181251525879
12	GATA2	15.168741226196289
12	TENT5A	15.077445983886719
12	ZNF385D	15.061457633972168
12	P2RX1	15.015316009521484
12	CCDC88A	14.902666091918945
12	PKD2	14.896161079406738
12	MS4A4E	14.734003067016602
12	MIR181A1HG	14.670223236083984
12	TLE4	14.589466094970703
12	PDZD8	14.38176155090332
12	ABCC1	14.174683570861816
13	MALAT1	26.599227905273438
13	H3F3B	20.43968391418457
13	PLCG2	11.182589530944824
13	FOS	7.252816200256348
13	TRA2B	5.672588348388672
13	YPEL5	5.571033477783203
13	AL589693.1	5.353964328765869
13	RGS1	5.190958023071289
13	ID2	5.172338485717773
13	IER2	4.844890117645264
13	SPINK2	4.808781623840332
13	JUN	4.8029279708862305
13	DUSP1	4.510300636291504
13	CNTNAP2	4.448044300079346
13	IFNG-AS1	4.414546489715576
13	CD69	4.360507965087891
13	IGHM	4.346114635467529
13	STK17B	4.260229587554932
13	TSC22D3	3.954033613204956
13	AC103591.3	3.817673921585083
13	H1FX	3.6458899974823
13	ATF3	3.588934898376465
13	CD74	3.533202648162842
13	HIST1H2BG	3.3101117610931396
13	LST1	3.1643126010894775
13	CLNK	2.9055473804473877
13	TMSB4X	2.834634780883789
13	B2M	2.817690372467041
13	JUNB	2.7932753562927246
13	BTG2	2.7797720432281494
13	REL	2.7074177265167236
13	SLC2A3	2.6719937324523926
13	AC253572.2	2.642742156982422
13	KIAA0087	2.6084141731262207
13	HIST1H2AC	2.5753517150878906
13	CLEC2B	2.567409038543701
13	ARHGEF40	2.546348810195923
13	FAM30A	2.5018069744110107
13	JMJD1C	2.4692609310150146
13	SIAH2	2.4569578170776367
13	MOB3A	2.4492077827453613
13	HOXA9	2.4275588989257812
13	ABCG1	2.4129478931427
13	FOSB	2.406604528427124
13	PPP1R16B	2.401756525039673
13	AC020916.1	2.3881242275238037
13	PPP1R15B	2.358893632888794
13	CYTIP	2.3398406505584717
13	PDE4B	2.2771739959716797
13	ABI1	2.2661852836608887
13	RGCC	2.255932092666626
14	MEF2A	18.589542388916016
14	ATP10A	16.543556213378906
14	RUNX2	16.25220489501953
14	AFF3	14.131291389465332
14	HDAC9	13.817788124084473
14	PRKCE	13.26539134979248
14	NEGR1	11.816221237182617
14	TTN	11.369787216186523
14	RABGAP1L	10.809343338012695
14	SFMBT2	10.68604850769043
14	RAB11FIP1	10.476463317871094
14	CELF2	10.395650863647461
14	MED13L	10.094369888305664
14	SAMHD1	10.092402458190918
14	UBAC2	10.087074279785156
14	SLC38A1	10.031723976135254
14	RUNX3	9.905937194824219
14	ID2	9.878662109375
14	PTEN	9.438075065612793
14	RPS6KA3	8.965378761291504
14	UVRAG	8.935887336730957
14	ATAD2B	8.806416511535645
14	ANKRD11	8.69306755065918
14	NFKB1	8.630461692810059
14	SATB1	8.524358749389648
14	MGAT5	8.462274551391602
14	STRBP	8.423765182495117
14	PIK3AP1	8.421194076538086
14	UBE2E2	8.30588436126709
14	ANKRD44	8.2454833984375
14	TASP1	8.233545303344727
14	LSP1	8.117369651794434
14	CALM2	8.028375625610352
14	SEMA4D	7.886444568634033
14	MAML3	7.466354846954346
14	SOX4	7.4263176918029785
14	ITGB7	7.293409824371338
14	MDFIC	7.288778781890869
14	MEF2C	7.267946243286133
14	CORO1A	7.090425491333008
14	MAP3K1	7.076919078826904
14	DOCK10	7.062355995178223
14	TMEM131	7.006064414978027
14	PREX1	6.994713306427002
14	LCP1	6.913414478302002
14	PLD4	6.8907036781311035
14	ZEB1	6.878890037536621
14	CYTH4	6.864969253540039
14	UST	6.83735466003418
14	CARD11	6.803421974182129
14	LINC01374	6.791731357574463
